Parcela_ID,Malla16k,Malla1k,Malla2k,Malla4k,Malla8k,COMUNA,NOM_COMUNA,NOM_PROVIN,PROVINCIA,NOM_REGION,REGION,latitude,longitude
435088,0,1,0,0,0,13103,CERRO NAVIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.41395988693075,-70.72548521283507
435087,0,1,0,0,0,13103,CERRO NAVIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.41395988693075,-70.73671415388658
435086,0,1,0,0,0,13103,CERRO NAVIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.41395988693075,-70.74794309493807
435085,0,1,0,0,0,13103,CERRO NAVIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.41395988693075,-70.75917203598956
435084,0,1,0,0,0,13103,CERRO NAVIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.41395988693075,-70.76815518883076
435083,0,1,0,0,0,13103,CERRO NAVIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.41395988693075,-70.77938412988225
435447,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.39823936945866,-70.66035735473642
435446,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.39823936945866,-70.6715862957879
435445,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.39823936945866,-70.6828152368394
435623,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38925621661747,-70.6715862957879
435798,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38027306377627,-70.66035735473642
435797,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38027306377627,-70.6715862957879
435796,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38027306377627,-70.6828152368394
435795,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.38027306377627,-70.6940441778909
435968,0,1,0,0,0,13104,CONCHALÍ,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.37128991093508,-70.6940441778909
432064,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.57790242628256,-70.66484893115701
432063,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.57790242628256,-70.67607787220852
432062,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.57790242628256,-70.68730681326001
432227,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.56891927344137,-70.67607787220852
432225,0,1,0,0,0,13105,EL BOSQUE,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.56891927344137,-70.69628996610119
